"","Date","Address","Type","Total","Unit","Building","Area","Age","Floor","Pattern","District","Year","month","MRT","Room","Hall","Bath"
"3127","107年04月","中山區長安東路一段65巷1~30號                                
                                                                            ","華廈",2008,68.3,29.41,6.63,3.8,5,"0房/0廳/0衛","中山",107,4,"                                                    
                                                                
                                    近捷運 善導寺站 》                                
                                                                
                                    近捷運 松江南京站 》                                
                                                                                                
                                    社區 達麗DA-LI 》",0,0,0
"3128","107年04月","中山區植福路286巷31~60號                                
                                                                            ","住宅大樓                                                含車位",18000,158,142.62,14.89,3.3,16,"0房/0廳/0衛","中山",107,4,"                                                    
                                                                                                
                                    社區 宜華國際 》",0,0,0
"3129","107年04月","正義段四小段121~150地號                                
                                                                            ","純土地",37,0,NA,0.11,NA,0,"0房/0廳/0衛","中山",107,4,"                                                    
                                                                
                                    近捷運 中山站 》",0,0,0
"3130","107年04月","中山區民生東路二段61~90號                                
                                                                            ","華廈",730,51.7,14.11,2.6,38.1,5,"1房/1廳/1衛","中山",107,4,"                                                    
                                                                
                                    近捷運 行天宮站 》                                
                                                                                                
                                    社區 翡冷翠 》",1,1,1
"3131","107年04月","中山區新生北路二段91~120號                                
                                                                            ","套房",460,43.9,10.49,1.04,35.3,7,"1房/1廳/1衛","中山",107,4,"                                                    
                                                                
                                    近捷運 中山國小站 》",1,1,1
"3132","107年04月","大佳段二小段931~960地號                                
                                                                            ","純土地",65,46.8,NA,1.39,NA,0,"0房/0廳/0衛","中山",107,4,"",0,0,0
"3133","107年04月","中山區新生北路二段68巷1~30號                                
                                                                            ","住宅大樓",1588,94.5,16.8,2.19,1.8,12,"1房/1廳/1衛","中山",107,4,"                                                    
                                                                
                                    近捷運 中山國小站 》",1,1,1
"3134","107年04月","正義段四小段121~150地號                                
                                                                            ","純土地",24,0,NA,0.07,NA,0,"0房/0廳/0衛","中山",107,4,"                                                    
                                                                
                                    近捷運 中山站 》",0,0,0
"3135","107年04月","正義段四小段121~150地號                                
                                                                            ","純土地",84,0,NA,0.25,NA,0,"0房/0廳/0衛","中山",107,4,"                                                    
                                                                
                                    近捷運 中山站 》",0,0,0
"3136","107年04月","榮星段三小段511~540地號                                
                                                                            ","純土地",25,7.8,NA,3.25,NA,0,"0房/0廳/0衛","中山",107,4,"",0,0,0
"3137","107年04月","中山區龍江路271~300號                                
                                                                            ","套房",770,72.2,10.67,2.16,18.1,3,"1房/1廳/1衛","中山",107,4,"                                                    
                                                                
                                    近捷運 中山國中站 》",1,1,1
"3138","107年04月","中山區錦州街1~30號                                
                                                                            ","套房",610,39.4,15.48,1.17,35.3,10,"1房/1廳/1衛","中山",107,4,"                                                    
                                                                
                                    近捷運 中山國小站 》",1,1,1
"3139","107年04月","中山區雙城街13巷1~30號                                
                                                                            ","住宅大樓                                                含車位",5670,66.3,85.51,5.78,6.1,11,"3房/2廳/2衛","中山",107,4,"                                                    
                                                                
                                    近捷運 民權西路站 》                                
                                                                
                                    近捷運 中山國小站 》                                
                                                                                                
                                    社區 森美術 》",3,2,2
